,action_inds,rewards,actions,cumulative_revenue
16340,0,0.03156849056250001,LMP_buy,-112.34159931546954
16341,0,0.03156849056250001,LMP_buy,-112.31003082490703
16342,0,0.029390337562500007,LMP_buy,-112.28064048734453
16343,4,0.09839204300000001,TOU_discharge,-112.18224844434452
16344,2,-0.006568486012499997,wait,-112.18881693035702
16345,1,-0.04231950290625,LMP_sell,-112.23113643326327
16346,4,0.10276316665625,TOU_discharge,-112.12837326660703
16347,0,0.03067708621875001,LMP_buy,-112.09769618038828
16348,4,0.1020158889875,TOU_discharge,-111.99568029140079
16349,0,0.02918253088125001,LMP_buy,-111.96649776051954
16350,4,0.1020158889875,TOU_discharge,-111.86448187153205
16351,0,0.02992980855000001,LMP_buy,-111.83455206298206
16352,1,-0.0415722252375,LMP_sell,-111.87612428821956
16353,1,-0.0415722252375,LMP_sell,-111.91769651345706
16354,0,0.03067708621875001,LMP_buy,-111.88701942723831
16355,1,-0.0415722252375,LMP_sell,-111.92859165247582
16356,3,-0.11291102800625,TOU_buy,-112.04150268048207
16357,0,0.032171641556250005,LMP_buy,-112.00933103892582
16358,0,0.03366619689375001,LMP_buy,-111.97566484203207
16359,0,0.03291891922500001,LMP_buy,-111.94274592280708
16360,2,-0.002832097668749997,wait,-111.94557802047582
16361,1,-0.040824947568750006,LMP_sell,-111.98640296804457
16362,0,0.032171641556250005,LMP_buy,-111.95423132648833
16363,1,-0.040824947568750006,LMP_sell,-111.99505627405708
16364,0,0.03366619689375001,LMP_buy,-111.96139007716333
16365,2,-0.002832097668749997,wait,-111.96422217483207
16366,1,-0.0400776699,LMP_sell,-112.00429984473207
16367,0,0.032171641556250005,LMP_buy,-111.97212820317583
16368,2,-0.005073930674999997,wait,-111.97720213385082
16369,2,-0.005073930674999997,wait,-111.98227606452582
16370,2,-0.002832097668749997,wait,-111.98510816219456
16371,2,-0.002832097668749997,wait,-111.98794025986331
16372,1,-0.0400776699,LMP_sell,-112.02801792976331
16373,0,0.032171641556250005,LMP_buy,-111.99584628820706
16374,2,-0.005073930674999997,wait,-112.00092021888206
16375,1,-0.040824947568750006,LMP_sell,-112.04174516645081
16376,0,0.03291891922500001,LMP_buy,-112.00882624722581
16377,1,-0.040824947568750006,LMP_sell,-112.04965119479456
16378,0,0.02619342020625001,LMP_buy,-112.02345777458831
16379,2,-0.009557596687499996,wait,-112.03301537127581
16380,2,-0.005073930674999997,wait,-112.0380893019508
16381,2,-0.005073930674999997,wait,-112.0431632326258
16382,1,-0.0400776699,LMP_sell,-112.0832409025258
16383,0,0.03366619689375001,LMP_buy,-112.04957470563205
16384,1,-0.03940236225,LMP_sell,-112.08897706788206
16385,1,-0.03940236225,LMP_sell,-112.12837943013206
16386,2,-0.004436603062499996,wait,-112.13281603319456
16387,2,-0.004436603062499996,wait,-112.13725263625706
16388,1,-0.042467433,LMP_sell,-112.17972006925706
16389,0,0.02976288843750001,LMP_buy,-112.14995718081956
16390,1,-0.042467433,LMP_sell,-112.19242461381955
